categoria_id,familia_id,ref_oem,marca,nom_ca,nom_es,descripcio_curta_ca,maquines_compatibles,material_aliatge,dimensions,imatge,ref_interna
CAT-01,FAM-ET-08,520-SKIN-PRIM,PRIMEdge,Ganiveta Skinner Grasselli 520mm,Ganiveta Skinner Grasselli 520mm,Ganiveta Skinner Grasselli 520mm. Compatible amb: Grasselli / Nock / Townsend. Material: Inox AISI 440C HRC 58-60. Specs: -.,Grasselli / Nock / Townsend,Inox AISI 440C HRC 58-60,520 x 40 x 1.5 mm,img/products/ET-08-01/catalog_img_1_page_1_img_1_1217x1177.jpeg,ET-08-01
CAT-01,FAM-ET-08,600-SKIN-NOCK,PRIMEdge,Ganiveta Skinner Nock 600mm,Ganiveta Skinner Nock 600mm,Ganiveta Skinner Nock 600mm. Compatible amb: Nock / Townsend / Marel. Material: Inox AISI 440C HRC 58-60. Specs: -.,Nock / Townsend / Marel,Inox AISI 440C HRC 58-60,600 x 40 x 1.5 mm,img/products/ET-08-02/catalog_img_29_page_3_img_3_269x197.jpeg,ET-08-02
CAT-01,FAM-ET-03,CUT-CFS-500,TEKBLADE,Ganiveta Cutter CFS 500L,Ganiveta Cutter CFS 500L,Ganiveta Cutter CFS 500L. Compatible amb: CFS / GEA / Seydelmann / Kramer. Material: Acer Eina D2 (1.2379). Specs: 500L / Radi 240.,CFS / GEA / Seydelmann / Kramer,Acer Eina D2 (1.2379),450 x 85 x 6 mm,img/products/ET-03-01/catalog_img_30_page_3_img_4_252x138.png,ET-03-01
CAT-01,FAM-ET-03,CUT-SEY-300*,TEKBLADE*,Ganiveta Cutter Seydelmann 300L*,Ganiveta Cutter Seydelmann 300L*,Ganiveta Cutter Seydelmann 300L*. Compatible amb: Seydelmann / Laska / Kilia*. Material: Acer Inox 420 / D2*. Specs: 300L / Radi 205*.,Seydelmann / Laska / Kilia*,Acer Inox 420 / D2*,380 x 75 x 5 mm*,img/products/ET-03/catalog_img_34_page_3_img_8_271x266.jpeg,ET-03-02*
CAT-02,FAM-SC-01,SC-KOLBE-3700,Stellar Technik,Serra Cinta 4 TPI Kolbe 3700mm,Serra Cinta 4 TPI Kolbe 3700mm,Serra Cinta 4 TPI Kolbe 3700mm. Compatible amb: Kolbe / Medoc / Mainca / Hobart. Material: Acer Carboni Temprat. Specs: 4 TPI.,Kolbe / Medoc / Mainca / Hobart,Acer Carboni Temprat,3700 x 20 x 0.6 mm,img/products/SC-01-01/catalog_1_page_13_img_1_168x126.jpeg,SC-01-01
CAT-02,FAM-SC-02,SC-MEDOC-3150,Stellar Technik,Serra Cinta 3 TPI Medoc 3150mm,Serra Cinta 3 TPI Medoc 3150mm,Serra Cinta 3 TPI Medoc 3150mm. Compatible amb: Medoc / Kolbe / Mainca. Material: Bi-metàl·lic M42*. Specs: 3 TPI.,Medoc / Kolbe / Mainca,Bi-metàl·lic M42*,3150 x 20 x 0.6 mm,img/products/SC-02-01/catalog_1_page_13_img_1_168x126.jpeg,SC-02-01
CAT-02,FAM-SC-03,SC-CONG-2850,Stellar Technik,Serra Cinta 6 TPI Congelat 2850mm,Serra Cinta 6 TPI Congelat 2850mm,Serra Cinta 6 TPI Congelat 2850mm. Compatible amb: Kolbe / Bizerba / Hobart. Material: Acer Bi-metàl·lic. Specs: 6 TPI.,Kolbe / Bizerba / Hobart,Acer Bi-metàl·lic,2850 x 20 x 0.6 mm,img/products/SC-03-01/catalog_1_page_13_img_1_168x126.jpeg,SC-03-01
CAT-03,FAM-GE-09,8318019,Heder,Ganiveta Perimetral Ulma TFS 500,Ganiveta Perimetral Ulma TFS 500,Ganiveta Perimetral Ulma TFS 500. Compatible amb: Ulma TFS / TFA / Everest. Material: Acer Inox HRC 56-58. Specs: -.,Ulma TFS / TFA / Everest,Acer Inox HRC 56-58,480 x 220 x 2 mm,img/products/GE-09-01/catalog_img_13_page_2_img_5_337x225.jpeg,GE-09-01
CAT-03,FAM-GE-01,79915201030,Rosete,Ganiveta Longitudinal Pressió Multivac,Ganiveta Longitudinal Pressió Multivac,Ganiveta Longitudinal Pressió Multivac. Compatible amb: Multivac / Tiromat / Ulma. Material: Acer L3 (1.2067). Specs: -.,Multivac / Tiromat / Ulma,Acer L3 (1.2067),77 x 19 x 5.2 mm,img/products/GE-01/catalog_img_14_page_2_img_6_229x153.jpeg,GE-01-01
CAT-03,FAM-GE-04,79935811012,Rosete,Estrella VS (Star Punch) Multivac,Estrella VS (Star Punch) Multivac,Estrella VS (Star Punch) Multivac. Compatible amb: Multivac. Material: Acer per eines. Specs: Format Estrella.,Multivac,Acer per eines,18 x 18 x 23.8 mm,img/products/GE-04/catalog_img_17_page_3_img_12_276x220.jpeg,GE-04-01
